cluster,category,precision
56,autos_and_vehicles,0.24
54,travel,1.0
42,travel,0.19642857142857142
48,default_category,0.35714285714285715
43,default_category,0.24691358024691357
60,gaming,0.2
61,citizen_journalism,0.6172839506172839
62,conferences_and_other_events,0.25
63,food_and_drink,0.3972602739726027
64,autos_and_vehicles,0.29411764705882354
49,citizen_journalism,0.22857142857142856
52,conferences_and_other_events,0.21428571428571427
53,conferences_and_other_events,0.2032520325203252
24,citizen_journalism,0.6705882352941176
25,conferences_and_other_events,0.23728813559322035
26,travel,0.19230769230769232
27,autos_and_vehicles,0.32051282051282054
20,food_and_drink,0.23076923076923078
21,autos_and_vehicles,0.23972602739726026
22,travel,0.25925925925925924
23,travel,0.24
46,travel,0.14465408805031446
47,travel,0.20588235294117646
44,travel,0.24074074074074073
45,travel,0.24242424242424243
28,citizen_journalism,0.14893617021276595
29,citizen_journalism,0.24
40,food_and_drink,0.375
41,travel,0.2
1,citizen_journalism,0.22727272727272727
0,literature,0.2608695652173913
3,food_and_drink,0.20675105485232068
2,travel,0.2
5,travel,0.15384615384615385
4,citizen_journalism,0.30337078651685395
7,travel,1.0
6,food_and_drink,0.5
9,citizen_journalism,0.6584158415841584
8,conferences_and_other_events,0.2391304347826087
51,music_and_entertainment,0.2631578947368421
39,citizen_journalism,0.1864406779661017
38,travel,0.2903225806451613
59,default_category,0.22641509433962265
58,citizen_journalism,0.16260162601626016
11,conferences_and_other_events,0.37333333333333335
10,travel,0.16666666666666666
13,health,0.6363636363636364
12,travel,0.23684210526315788
15,food_and_drink,0.1511111111111111
14,citizen_journalism,0.5294117647058824
17,travel,0.12345679012345678
16,food_and_drink,0.2222222222222222
19,citizen_journalism,0.2222222222222222
18,conferences_and_other_events,0.1743119266055046
31,food_and_drink,0.4666666666666667
30,travel,0.1780821917808219
37,citizen_journalism,0.1935483870967742
36,citizen_journalism,0.3548387096774194
35,travel,0.22950819672131148
34,health,0.24
33,travel,0.25675675675675674
55,citizen_journalism,0.36
32,citizen_journalism,0.1794871794871795
57,health,0.5217391304347826
50,travel,0.18518518518518517
