cluster,category,precision
0,travel,0.19230769230769232
1,autos_and_vehicles,0.15492957746478872
10,citizen_journalism,0.35678391959798994
11,movies_and_television,0.5
12,food_and_drink,0.15492957746478872
13,food_and_drink,0.21212121212121213
14,citizen_journalism,0.2413793103448276
15,travel,0.1592920353982301
16,autos_and_vehicles,0.3333333333333333
17,travel,0.24571428571428572
18,citizen_journalism,0.296875
19,health,0.3435897435897436
2,travel,1.0
20,citizen_journalism,0.20202020202020202
21,travel,0.17647058823529413
22,gaming,0.36363636363636365
23,autos_and_vehicles,0.5
24,travel,0.19298245614035087
25,citizen_journalism,0.2545454545454545
26,conferences_and_other_events,0.22857142857142856
27,food_and_drink,0.13709677419354838
28,travel,0.16883116883116883
29,citizen_journalism,0.7040816326530612
3,conferences_and_other_events,1.0
30,travel,0.14285714285714285
31,citizen_journalism,0.21666666666666667
32,citizen_journalism,0.47435897435897434
33,health,0.1414141414141414
34,travel,0.1864406779661017
35,food_and_drink,0.21052631578947367
36,citizen_journalism,0.6206896551724138
37,food_and_drink,0.2488479262672811
38,conferences_and_other_events,0.25757575757575757
39,religion,0.18181818181818182
4,travel,0.2777777777777778
40,food_and_drink,0.2032520325203252
41,citizen_journalism,0.18018018018018017
42,conferences_and_other_events,0.20610687022900764
43,health,0.5
44,travel,0.17543859649122806
45,travel,0.19491525423728814
46,travel,0.23728813559322035
47,food_and_drink,0.21153846153846154
48,citizen_journalism,0.3888888888888889
49,food_and_drink,0.2391304347826087
5,food_and_drink,0.19298245614035087
6,travel,0.125
7,religion,1.0
8,autos_and_vehicles,0.1686746987951807
9,travel,1.0
