cluster,category,precision
20,citizen_journalism,0.4
1,citizen_journalism,0.25
0,citizen_journalism,0.18059701492537314
3,citizen_journalism,0.6
2,conferences_and_other_events,0.22580645161290322
5,school_and_education,0.75
4,the_mainstream_media,0.42857142857142855
7,school_and_education,0.8
6,school_and_education,0.8888888888888888
9,citizen_journalism,0.8421052631578947
8,gaming,0.2222222222222222
11,citizen_journalism,0.8
10,citizen_journalism,0.7647058823529411
13,citizen_journalism,0.625
12,citizen_journalism,0.7777777777777778
15,conferences_and_other_events,0.25
14,citizen_journalism,0.3333333333333333
17,health,1.0
16,travel,0.35714285714285715
19,conferences_and_other_events,0.875
18,food_and_drink,1.0
-1,travel,0.17649519029694688
