cluster,category,precision
42,citizen_journalism,0.2898550724637681
43,autos_and_vehicles,0.1935483870967742
24,travel,0.19607843137254902
25,travel,1.0
26,travel,0.19148936170212766
27,food_and_drink,0.17391304347826086
20,travel,0.1297709923664122
21,citizen_journalism,0.35874439461883406
22,religion,1.0
23,autos_and_vehicles,0.5
44,health,0.49473684210526314
28,conferences_and_other_events,0.23125
29,autos_and_vehicles,0.1518987341772152
40,citizen_journalism,0.32673267326732675
41,conferences_and_other_events,0.19387755102040816
1,travel,0.15217391304347827
0,travel,0.18285714285714286
3,travel,0.15083798882681565
2,food_and_drink,0.20588235294117646
5,citizen_journalism,0.16718266253869968
4,travel,0.14545454545454545
7,health,0.36363636363636365
6,movies_and_television,0.5
9,travel,0.18181818181818182
8,citizen_journalism,0.4166666666666667
39,conferences_and_other_events,1.0
38,travel,0.2391304347826087
11,videoblogging,0.1588785046728972
10,food_and_drink,0.14285714285714285
13,citizen_journalism,0.38028169014084506
12,food_and_drink,0.21025641025641026
15,travel,0.24742268041237114
14,travel,0.3333333333333333
17,autos_and_vehicles,0.14444444444444443
16,citizen_journalism,0.29896907216494845
19,citizen_journalism,0.33707865168539325
18,travel,0.1527777777777778
31,travel,1.0
30,autos_and_vehicles,0.5
37,conferences_and_other_events,0.21739130434782608
36,citizen_journalism,0.1951219512195122
35,food_and_drink,0.15
34,gaming,0.4444444444444444
33,art,0.3333333333333333
32,food_and_drink,0.14285714285714285
