cluster,category,precision
0,citizen_journalism,0.4438630913451057
1,autos_and_vehicles,0.16940260619394146
10,travel,0.15562913907284767
11,citizen_journalism,0.29017176542331535
12,conferences_and_other_events,0.17812381314090392
13,autos_and_vehicles,0.16072727272727272
14,travel,0.1310123683005039
15,autos_and_vehicles,0.1647699561046984
16,conferences_and_other_events,0.15348670021567218
17,autos_and_vehicles,0.2679934569247546
18,comedy,0.26666666666666666
19,autos_and_vehicles,0.16086760054225033
2,citizen_journalism,0.5434991974317817
20,travel,0.1967654986522911
21,citizen_journalism,0.17768595041322313
22,citizen_journalism,0.3813387423935091
23,citizen_journalism,0.1474558670820353
24,health,0.31999381953028433
25,citizen_journalism,0.14002478314745972
3,citizen_journalism,0.2076159611099858
4,travel,0.13319386331938632
5,citizen_journalism,0.18687430478309233
6,autos_and_vehicles,0.16756341275941583
7,citizen_journalism,0.13532856213402733
8,travel,0.16695001700102005
9,citizen_journalism,0.44377053323224663
